time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
2021-11-02,0.001755666173420573,-0.007674070825829998,-0.005030549560082355,-0.006565919701259538,0.0050259003121590285,-0.005688289138898228,0.004700976489700592,-0.010301966319002476
2021-11-03,0.00028351525912413824,0.022442918817287532,-0.009537672000144404,-0.003940205902707522,0.009955542242190708,0.021654739223943266,0.017271283833551112,-0.0029701007000279118
2021-11-04,-0.003784176154288579,0.006051742565502224,-0.0012203252002723098,0.012474520719494555,-0.004501651690439746,-0.0028982795527251544,-0.010850527302475797,0.00010817177238536505
2021-11-05,-0.007932199421477385,0.011126124225678413,0.014748937217552322,0.008156641758681877,-0.019103746859856507,-0.0010083242350723877,-0.006281233607248432,0.0006064388343910337
2021-11-08,-0.003510327070112649,-0.003668389786995965,-0.005131154183130104,-0.009051653874870317,-0.0048544758335060285,-0.002746339495539899,-0.016447300563837204,0.006248633781265278
2021-11-09,0.0124583391922657,-0.011586979424229952,-0.0059555726860314705,0.006259989062805814,0.007912806486612365,-0.0043235632592278726,0.011781847045231006,0.0064478227599039685
2021-11-10,0.0035246889337939465,0.003766142294894085,0.02143157231113278,-0.010153945699009532,0.005044079824589695,0.003568425479732579,0.0016175175479219697,-0.004186233840661328
2021-11-11,0.012481505850781852,0.007508471746685348,0.032164196058906816,0.0019999014425262688,0.013324944909163104,0.007934162126968038,-0.019292599231150117,-0.006604284276481824
2021-11-12,-0.02173871571874612,0.009710593518415439,-0.001931376482981154,-0.00018932433128545132,-0.005591319506573563,-0.006926073866900401,0.015411083885014387,-0.002032053558530909
2021-11-15,-0.010110284753646934,-0.013337477365459361,0.02711353946917973,0.003916129569797136,0.020744942344768782,-0.012306427458286119,-0.00022068311754116747,0.008105833063846721
2021-11-16,0.022301018471141118,0.00019396273644664853,0.01492229106381357,-0.015351067978051181,-0.0049636879212132294,0.005104881823728114,0.016255510605331636,-0.0014249994499315852
2021-11-17,-0.004050891183379322,-0.015862630682551875,0.007639749948472791,-0.00936319269876551,0.004210420252737674,0.007459297625208202,-0.0007571155621859294,-0.002588720678432279
2021-11-18,0.03344703135595934,0.00783003177671913,0.02108558597916961,0.0047881205714304775,0.016735152808932476,-0.006418323149948757,-0.0049482402305838875,0.005495268237108907
2021-11-19,0.03527800694406805,0.0033028635763350535,0.02263662560977445,-0.0041528793062910775,0.018062594202916744,0.023920071663607913,0.012427456995973935,-0.008961916907860527
2021-11-22,-0.022644796045482734,0.00468537109015591,-0.022037276684443455,-0.011235395623338066,0.015879582402587755,0.007181768388203372,0.00904941638582624,0.004091697943079727
2021-11-23,-0.03216460839289338,0.0045185047081115716,0.013117566527007993,0.014153691415887548,-0.004392376888065017,-0.019221609463640748,-0.012592117903924574,-0.009451203198276312
2021-11-24,-0.044880475615821175,0.01650003868134423,-0.008196315052128754,-0.06706361375451754,0.03908063487645789,0.011703149734006513,0.020309926104614403,0.001013908745287795
2021-11-25,-0.02095917662849957,0.00859890867240719,-0.003479146495694911,-0.009160047372740428,-0.006472366657426792,-0.004006346115953657,-0.004557761936525224,-0.02034077085323543
2021-11-26,0.016221594712615733,-0.045635459138988026,0.0002495729324085281,0.012825374514838464,-0.024065328877883218,0.028578379776763536,-0.005748427563151247,0.007786648172792119
2021-11-29,0.01234808468907179,-0.077352228830715,0.009419708261992132,0.024354943017478935,-0.020636568473618444,0.019744115116561788,0.016889365117354973,0.007567403507103823
2021-11-30,0.010584958263946054,-0.000600662759704463,0.00635615777432706,0.03015537715878108,-0.009925892834558704,-0.008806204016954079,-0.01808121587533259,0.006562005850459939
2021-12-01,-0.006221156251459337,0.009770042318852893,-0.0004047082332067096,-0.003409664002342015,-0.007211414736506245,0.022131708501520693,0.014069840043443402,-0.0015028550540242033
2021-12-02,0.01859263374972623,-0.014986506626324376,-0.0014264049268436568,0.00043713061071658444,-0.002463887490521561,0.010673555813270353,-0.007182017035800035,-0.0038122178576549056
2021-12-03,0.057865511043048413,0.002244541283291938,-0.003008792890427663,0.008777743058682763,-0.0013255745381052875,0.0019564922317441874,-0.002568805528982623,-0.008263496975956689
2021-12-06,0.04998349196944966,-0.01980546464985785,0.024888960959771955,0.0028514725016728832,-0.006284150007705828,-0.003749248791571739,0.002455922949723584,0.007155835064477501
2021-12-07,-0.06123963702946535,0.0017171989516550394,-0.021995840006109157,-0.0071345371139412235,0.0020565099750878574,-0.003031858527359432,-0.008395000556549782,-0.0058008367291785025
2021-12-08,0.005673265510975154,0.009420920273602253,0.00222835645285651,-0.004595702434915606,0.011747239122645109,0.0045259889265163306,0.004596096572438576,-0.00034021136939533435
2021-12-09,-0.0149561683074789,-0.007592930365397525,0.0043792618876174385,-0.012204960752807052,-0.009506477551514401,0.0010603393718289318,0.0012706205493580266,0.0011690720158091955
2021-12-10,0.026159866440546325,0.02400635639748269,-0.00015796689740633625,-0.006034626876486235,0.018147934333511927,-0.014031410678741281,-0.007653358138430997,-0.003091231425831407
2021-12-13,-0.009240924940637317,-0.006666867104773888,0.003720493915106963,0.002685257115969218,0.002328607070526861,-0.01043653699239034,0.0007160304179935377,0.004710894526418067
2021-12-14,-0.006436433120982044,0.007703562414855109,-0.01366039378259526,0.017359152443853502,-0.0036938656033315967,-0.006285489595730509,-0.009267592812531492,-0.00038047836904679053
2021-12-15,-0.0027375290121265557,0.017066383593740173,-0.005835032694948055,-0.007136866545389088,0.00933528779637088,-0.0161116420090108,0.00105134323786646,0.002840568095060088
2021-12-16,0.018607434700129107,-0.008553823732088612,-0.0045674410866720725,-0.0014347416865681181,-0.008184390632076924,0.0002777825826840293,-0.0011932274504707875,0.005460534595408005
2021-12-17,-0.005076335690827123,-0.03014046275297644,0.02513616446761472,0.011687260211963311,-0.002714653261352629,-0.013524985826069385,0.020119891073159594,0.006887066398429446
2021-12-20,0.016116702739612913,0.02163316066597583,-0.019954818984841936,-0.016652060463272538,0.008775995546683667,-0.006412621869906093,-0.020540611685313293,-0.017486598062599917
2021-12-21,0.0030219630812786716,-0.01477882431289714,0.007900274721530936,-0.0062402061708803375,0.016291706484599433,-0.024999543776872534,0.005591004332771914,0.01106804958123406
2021-12-22,0.004809905393570868,-0.010573783859730826,0.025898739064363914,-0.0020627279534208825,0.005132273504717082,0.01043697623046211,-0.007634002100417628,-0.00653470076308909
2021-12-23,0.04413108896696889,0.034643314684599066,-0.00958435139691725,0.008830099701646284,0.004148647462726562,0.0037108220451176474,-0.009100184891502487,0.0009098666686226119
2021-12-24,-0.041098265579846596,0.009688870235203937,-0.02072808114270328,-0.015138239078573541,0.006546876830392237,0.011270112908550026,-0.00259093948908288,0.00273730854773858
2021-12-27,-0.012656175688552289,-0.015029572626919535,0.005961649704241897,-0.008222499802041266,-0.0024560617488653207,0.017521496680558208,-0.0031855368862434173,-0.01379469062013547
2021-12-28,-0.0011047203643854112,0.006571674570077023,0.0027031662303793184,0.0013845790440363782,0.00831514510790883,-0.002457944434003222,0.0035965604289919044,-0.0025234810890625587
2021-12-29,0.024002318971730035,0.021207279079102234,-0.012321763381809129,0.0016501186829623819,0.003866708052609073,-0.007587925640696317,0.0006811809705666468,0.007314542206164067
