,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
VNM,-0.19336424954345768,0.016794414211064267,0.021098337629594493,-0.43093553278548224,-0.3737355335802913,0.0762922614376414,-0.5146400858516179,0.6048342460548907
VIC,-0.29566823294233113,-0.6857988639139446,0.15729161316974333,0.14348703581716737,-0.15332481226989933,0.5990653122138235,0.04254570344021816,-0.11284126029647375
VHM,-0.3597801626416573,-0.5491016744241116,-0.02187702099057721,-0.08169318770111737,0.24234723182899454,-0.7011814456298546,0.026871992639507916,0.10384363384829949
FPT,-0.3174188758556061,0.17429311559114607,0.22774117487313342,-0.26995651338471227,-0.6523370620738005,-0.21449999902553693,0.3732366424174591,-0.3650549573373542
HPG,-0.45702321089525494,0.17313519351504517,-0.6457383925341367,0.5002836695482227,-0.22377742957716404,-0.034493266303480034,-0.19391614734637064,-0.07087010829812711
MWG,-0.4769578746602713,0.3463110585158837,0.6481473555357739,0.31581933503003773,0.27769197301877674,0.00506674409895514,-0.23555724352240667,0.010829170403745168
VCB,-0.22525620824827333,0.06552117898637941,-0.2044245435561458,-0.5488412115730198,0.34492096317091325,0.1551476717568354,-0.36226647408778456,-0.572426656512827
MBB,-0.39735961797283803,0.20810323766863578,-0.2088231349898386,-0.25080562829271763,0.32615608050383693,0.2689764225759251,0.6074372926454302,0.3802389279627271
