,eigenvalue,variance_ratio,cumulative
PC1,0.0013763677901091219,0.4800595833893685,0.4800595833893685
PC2,0.0004494374171799712,0.15675805609625973,0.6368176394856282
PC3,0.0002546743225883601,0.08882716529718034,0.7256448047828086
PC4,0.00021695073091318953,0.0756696562115476,0.8013144609943562
PC5,0.0001588569555920009,0.055407286096075536,0.8567217470904318
PC6,0.00014787269130908778,0.051576114389364845,0.9082978614797966
PC7,0.0001449125446399709,0.05054365287220378,0.9588415143520004
PC8,0.00011800454755139858,0.041158485647999676,1.0
