,MA5,MA5,MA5,MA20,MA20,MA20,MA50,MA50,MA50
,MAE,RMSE,MAPE_%,MAE,RMSE,MAPE_%,MAE,RMSE,MAPE_%
VNM,0.6035542857142863,0.9571656611355966,1.046117263911167,1.2468314285714286,1.6950908947394454,2.150024750051182,2.304341714285714,2.795571798602722,3.9069184264286907
VIC,0.5563200000000003,1.070446614402472,2.097473599143092,0.960031428571429,1.7815450160705208,3.610015404474782,1.637382857142857,3.089214365072684,5.936674561905835
VHM,1.105942857142857,1.5841352756089266,2.4081660386214434,2.1523857142857143,2.838920450000065,4.673748592584739,3.502228571428571,4.717013042775511,7.436688193427364
FPT,1.8928228571428563,2.651352508761195,1.6933918311614307,3.7282428571428565,5.012750280605876,3.3439338333652002,6.45533142857143,8.602921066933355,5.863285676347657
HPG,0.36479999999999996,0.5687272607699204,1.7303569968763393,0.52524,0.7748139518619941,2.481091529268098,0.7377245714285716,0.9834951430775563,3.489230359311135
MWG,1.2642742857142863,1.8309427641830556,2.1781270645247077,2.0427685714285713,2.892197607109761,3.4775824299158375,2.621968,3.307619337641933,4.417102506837951
VCB,0.6931200000000007,1.2460043934799867,1.1540929095483015,1.1749571428571435,1.9787447814207875,1.9515053194702097,1.466268571428572,2.158967536684408,2.419430945635054
MBB,0.24874285714285707,0.37300193794977227,1.5006702724860335,0.38884571428571396,0.5224972590495433,2.3406762349189045,0.5944868571428572,0.7234025974122964,3.5369490575937252
