,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
VNM,1.0,0.23355161300110303,0.2937562283238616,0.39537867186967585,0.31067052837754155,0.33100476821558666,0.3689313692837599,0.35786258194488807
VIC,0.23355161300110303,1.0,0.6077517697046707,0.23455808554746335,0.2849985303443461,0.25334234603262645,0.18830925537497642,0.25265427945220525
VHM,0.2937562283238616,0.6077517697046707,1.0,0.3278467120460684,0.3942115878635558,0.3327121078185421,0.31520222653591723,0.3768912646505945
FPT,0.39537867186967585,0.23455808554746335,0.3278467120460684,1.0,0.43850908187386206,0.5476748941925406,0.34222077938867534,0.5144497501737868
HPG,0.31067052837754155,0.2849985303443461,0.3942115878635558,0.43850908187386206,1.0,0.5072732554247967,0.3728485609867792,0.5803910692801659
MWG,0.33100476821558666,0.25334234603262645,0.3327121078185421,0.5476748941925406,0.5072732554247967,1.0,0.3315451294650141,0.5476882392513424
VCB,0.3689313692837599,0.18830925537497642,0.31520222653591723,0.34222077938867534,0.3728485609867792,0.3315451294650141,1.0,0.47686490240374046
MBB,0.35786258194488807,0.25265427945220525,0.3768912646505945,0.5144497501737868,0.5803910692801659,0.5476882392513424,0.47686490240374046,1.0
