time,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
2024-08-15,65.11011228831507,20.4734228232387,37.90781891234471,109.20560808810983,20.586436968440267,64.79187171185693,58.10555526680985,15.162918367039959
2024-08-16,65.1573270846637,20.58890236890873,38.57911497132786,110.94964448383986,20.942877750483554,68.16425030958632,58.513779992066645,15.681809022513255
2024-08-19,67.04720233437114,20.593956556941105,38.629595831054694,110.76021011689781,21.130264654558804,67.93758983331287,58.95559524314512,15.686734662751784
2024-08-20,66.6329931194056,20.92770082459016,39.520128737295984,111.60038772402493,21.083253086059454,68.42067343296836,60.23726408538688,15.808477129256772
2024-08-21,66.447244589122,20.917605942875248,39.77985953591772,113.31310771072877,21.387318477877614,68.7730217940533,61.62022874415957,16.13645664479303
2024-08-22,65.5288499798778,20.804702984052998,39.84839938293181,113.61277541736334,21.030933713710333,68.90690370860034,61.289386479259356,15.909162796138007
2024-08-23,66.12493637293827,20.77450941960077,39.74165347726977,112.96831950527901,21.299269683078144,68.91482808053132,61.33908248303206,16.007027322620363
2024-08-26,64.73281823194195,21.180306828973603,40.57609069956437,111.56079261523278,21.239603527067796,68.60592526823405,61.00372262362515,15.936462921776926
2024-08-27,64.65023947223827,22.808998261893592,41.69638899888949,112.36520983228174,21.01457570512486,68.57472453839661,60.5682576278551,15.88865855932777
2024-08-28,65.33047106392219,22.13358967908206,40.83964122636635,113.18882393083533,21.01156639209586,68.35825293906787,60.50451831196667,16.079605601160146
2024-08-29,64.89204655247386,22.121774391971687,41.51982741025436,113.47293879112976,20.925204120828234,68.00793235935201,60.715976539186144,16.20168964531968
2024-08-30,65.26144620084972,22.106402543921803,41.557876307348586,114.46128565302553,20.84477221476226,68.77315351329487,60.856958819800624,16.199669154306047
2024-09-04,65.52719262371862,22.078965145347453,42.534685399864394,112.84440677968647,20.62202130917931,67.90672471281862,60.33889477698082,15.907534498241782
2024-09-05,65.77440136858264,22.68768148839118,43.843049422540936,110.73709164486324,20.4548681662746,66.63824454396953,59.692488468147936,15.602406028850885
2024-09-06,66.57201256621116,22.288293188998487,43.870697178889785,112.15023826976687,20.76790172995238,66.99161400402986,59.9010789117942,15.659820845540613
2024-09-09,66.14131396494332,21.750796539031107,42.85383861284193,111.4860108003135,20.935165468501687,66.46919462032662,59.92843929377889,15.626981755591508
2024-09-10,66.17034225369359,21.48708741183427,42.79503781614433,110.4065709660945,20.547717773723463,66.76908238317127,59.06105516554448,15.484271071390719
2024-09-11,65.85150665397096,21.506954975976807,43.000771511070795,110.85928758793185,20.72080300418741,66.76078232939604,58.69224549576667,15.586639298774458
2024-09-12,65.94541753355531,21.459970091489062,43.114861819903396,112.31878167632917,20.518530831144353,66.47170312314333,59.408620086636645,15.654469247882663
2024-09-13,64.40436360775134,21.45971943685698,42.98960801574549,112.8988145241262,20.435509014771498,66.14353287001052,59.661297467929096,15.5852539609626
2024-09-16,63.65095373071207,20.931295335210827,41.592986750655434,111.31283582028983,20.311532644992514,65.04788175130979,59.0555019882744,15.595688083932302
2024-09-17,64.6498710996443,21.59151695848602,44.173259892609174,112.72501006889998,20.644404654020427,65.76898660430744,60.02410354242976,15.805109767164438
2024-09-18,64.78141629802252,21.30090344439332,43.95215530488814,114.34527898618818,20.521668672928744,67.2755284189212,60.40678753394011,15.912105807164192
2024-09-19,64.70976883333343,21.47962441952597,44.16678198198425,114.74545098862993,20.63923591191121,67.13369459030527,60.716177129353994,15.912840359599686
2024-09-20,64.29667659737021,21.077913823034404,43.644292642885326,114.87073836540439,20.97949759908534,66.97907821998596,60.195051319376915,16.142725497500344
2024-09-23,64.39213029823755,21.189619900977924,43.60470863590527,113.71754968032201,21.005165102524437,66.20031309439682,60.33769707709985,16.174939879710085
2024-09-24,64.2323833057828,21.307941174461885,44.30172698351426,114.17523768399477,21.12931482323691,67.09409170753965,60.52540861285108,16.459266537262984
2024-09-25,63.66346439747013,21.268050563839008,44.12070323339857,114.43364820438858,21.426663577581333,67.6965365661639,61.630774654488064,16.794953903539927
2024-09-26,64.58892344750737,21.33509119688869,44.40778645158674,113.98523529726563,21.286419684277266,67.20487475420309,61.368816845956886,16.74709268236925
2024-09-27,64.93923373581077,21.209732286907137,43.3173230841444,113.9314407672459,21.29421143515195,66.44262341283122,61.41309882226613,16.7549567544808
2024-09-30,64.16839475478655,20.935849485912666,42.74247276232123,114.22467213100025,21.538013798949454,67.11457520698333,61.10410517278091,16.755669741712136
2024-10-01,64.03217129177989,21.19675205964541,43.473230755398426,115.31891951178252,21.85989880896958,66.72278750349129,61.052497569446615,16.718744313640343
2024-10-02,64.10048853824121,21.029630824900796,43.38911070296885,114.94236342842409,21.48361868874268,66.33667061640908,61.506814262082976,16.74850359411684
2024-10-03,64.39597824076284,20.577273477573847,41.43631408093532,113.79121755556922,21.41361620911008,65.26980883029339,61.500280458439114,16.631375423341044
2024-10-04,62.68990984591829,20.496451011509325,41.484047522524996,113.8501042836053,21.40529706277856,65.37184379924503,61.24639799939235,16.361857474096418
2024-10-07,61.45005095327288,20.397276338540635,41.15870236088519,113.83787336758425,21.57358756180994,65.2861115573821,61.08302472860546,16.435514696234634
2024-10-08,62.35911400126553,20.473691517794926,41.556544705011966,113.50665533015797,22.02280899706225,64.11941690371025,60.73491345338467,16.43569968874299
2024-10-09,61.93755704910069,20.87446349902396,42.5246127841695,114.83680971064658,22.467353359846708,63.14409372715352,60.38352101605805,16.689540973800888
2024-10-10,62.001451279810055,20.680437669410775,42.22856390327587,120.38924152590384,22.263768745690346,64.17208498436162,61.00141172774429,16.617248246120518
2024-10-11,61.82734044679551,21.015115549984504,43.657774344149,118.40418203852508,22.293893910034875,63.38767029831589,60.66868588117248,16.65347949660833
2024-10-14,61.36708541988163,21.208226503814082,45.40232215271643,116.69898691375698,22.092788373866323,62.48898143305362,60.59858490880538,16.841297436440094
2024-10-15,61.22377194347569,20.765265287753,44.59862171897306,116.36065767872553,22.186622764249407,63.49709900419593,60.69386041200067,16.723595588884894
2024-10-16,61.770506675426304,20.774644380583382,45.048734653398434,115.73893608822243,22.140656953561074,64.55100085996928,60.71034172597299,16.616269709441443
2024-10-17,61.864270136342,20.778595147887483,45.09627333949643,116.30461464247115,22.27113913883267,64.8435102984836,61.209141394339156,16.89065326321848
2024-10-18,61.6461583790005,20.95247119647267,45.28246604432308,116.29077860754677,22.00431363725303,64.66489146745104,61.283462029297596,16.78389114360608
2024-10-21,61.41174459678585,21.297965401812238,47.93244020459858,114.9268815834939,21.83769645894095,64.66948963254103,60.96148512553171,16.64497550070235
2024-10-22,61.56368812829963,21.1464007236277,48.25526721325673,112.97319815548369,21.767007616685987,65.24845419980397,60.63059096887962,16.456309582362213
2024-10-23,61.578082327068344,21.629085603854502,46.99676697534743,113.92127404651754,21.60077696249256,64.67148193419736,60.69988231387002,16.45784898371462
2024-10-24,62.80406536027587,20.833036565753158,43.63743349628032,114.12989210295446,21.617837516187524,64.50184558644708,60.95549479437789,16.118595215643868
2024-10-25,62.24643898090108,20.762231454122038,43.81401096359428,113.77009785083723,21.61017217994282,64.51249252664194,60.9353230341235,16.075534898464056
2024-10-28,61.58519962950839,20.649104613259638,42.61805504751532,114.55235746156208,21.86777262048768,64.5557208338568,61.11307547001833,16.180852290564967
2024-10-29,61.34787283387814,20.66722044950783,42.7691465428407,114.96757274453054,22.11253789799105,65.56397217192558,61.083630087984595,16.303474642923824
2024-10-30,60.820977719667106,20.41503652168528,41.04701022055023,115.42178616909995,22.05816932493594,65.01980200241023,60.90715429665672,16.310049465179628
2024-10-31,60.4649359760557,20.842725374077336,41.58543037668632,115.35084941012154,21.97219715181467,65.48407782679594,62.0871090409999,16.32644628998693
2024-11-01,60.26669314894627,20.62195037870969,41.48753921216601,114.25843372657118,21.685613786884627,64.9201593158342,62.019589719260644,16.041345961657978
2024-11-04,60.06575401808329,20.639312553408843,41.486237958721844,112.69542183381992,21.478248604758456,64.01171616485456,61.3588739178095,15.941860867469124
2024-11-05,59.98567045605825,20.660345917375235,41.52216285546984,112.56658320862795,21.650811928948208,64.62154669046969,61.45234328427567,15.94382684044113
2024-11-06,60.23335213924083,20.913322527527992,41.575764437424716,114.2454702981116,22.026791571566207,64.6317962471961,61.66628918843463,16.204475690351455
2024-11-07,60.35975405788028,20.849009543068885,41.394082694424725,114.6892442653657,22.015453571891236,64.4007354060079,61.85121957069989,16.173761834750664
2024-11-08,60.295568308114895,20.428774512039062,39.90002668167566,115.33946106904736,22.057664002320436,64.05172662247963,61.236463603991346,16.01180489429493
2024-11-11,59.69221842576405,20.41303992537814,40.51853347611507,117.30421609354528,22.63859834530995,61.93584027661378,61.081214347098985,15.851644450565878
2024-11-12,59.46776524675897,20.27781180776496,40.195650246107355,116.05827468039155,22.45375446116616,59.734231249827516,60.98539851142805,15.719701179418127
2024-11-13,59.55457120258906,20.328417113361155,40.409250617569654,117.04340021498763,22.097201870998454,61.05957940067272,61.36745375666007,15.73833550540476
2024-11-14,59.51505870839054,20.42458608780308,40.40311333933455,115.43116732953497,21.466362725140694,60.28594344955615,60.99551982057744,15.50773236664027
2024-11-15,58.384641700465984,20.304739580038955,40.202336608627846,113.61289720847894,21.147915948381243,58.86419801011979,60.8298933483045,15.326528495033715
2024-11-18,57.90825530245304,20.249505833855842,40.7993244071918,113.70206624958739,21.07648548696041,57.93216083675837,60.36980224809292,15.256021359332241
2024-11-19,57.65620609320608,20.30469304724671,42.21206934231165,110.23223785591809,20.78613868673152,56.42885934969408,59.66352906604323,15.091613669663596
2024-11-20,58.24308531787841,20.230643950738457,43.325547598430106,112.33718755450117,20.932390923865007,55.948567266587766,59.93643987039459,15.35685877812104
2024-11-21,58.5996863822069,20.161015030716243,43.37017049203045,112.98094414996903,21.13553897210518,58.017030475939734,60.09752731315997,15.655163156876021
2024-11-22,59.023502430375814,20.15586999410014,41.542417329465614,113.72747804180466,21.34095366837577,58.21801005318938,60.187110088251885,15.66234550438574
2024-11-25,58.82234674989375,20.59893995766916,42.780972626026966,113.5949194054171,21.486696509563085,58.06701357596834,60.55424969309838,15.609634201216645
2024-11-26,59.394478727017564,20.505619396427907,42.44332283368149,114.82230109091833,21.536177879262205,59.22573492156066,61.338683571892744,15.715074986753509
2024-11-27,59.248080225316144,20.345855695714103,41.90674066199219,117.9760689712215,21.494073063058767,59.40606602315713,61.541727522780064,15.716780909489934
2024-11-28,59.1516685015568,20.31998953137403,41.060367155014404,118.35500046291509,21.57154350042237,59.12761091087227,61.469551715576955,15.659230409093865
2024-11-29,59.24225078918862,20.205777109390446,40.816883848262556,122.5617878948574,21.871279241197026,59.73434796371625,61.961886340106474,15.749173040759576
2024-12-02,59.113538940162734,20.1763143330512,40.724061858928835,121.53687127085786,21.97953458090645,59.485267767127425,62.526578104739045,15.74825480381045
2024-12-03,58.55216010977889,20.231583693738987,40.92047099192135,123.93200237958231,22.050399786071797,58.88474651050494,61.7024820876876,15.614011226567152
2024-12-04,58.08580699003868,19.96964323797815,39.978799079327,122.63324442216921,21.81313350909492,57.13564230093747,62.059022609867014,15.562805776016589
