time,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
2021-11-02,-0.008934902850659565,0.0,0.00830179465266756,0.0030845157310301907,-0.0035076530612244694,-0.008471867007672662,0.00923514089509836,0.0
2021-11-03,-0.01116199198626222,-0.005219206680584509,-0.024700326916091586,0.0,0.0016000000000000458,-0.0008060615831050333,0.008212106992022461,0.026521060842433775
2021-11-04,0.002315484804631174,-0.0031479538300104304,-0.0024829298572315306,-0.0010250102501025982,0.012779552715654896,0.008551145530816484,-0.0030253665347915737,-0.008358662613981771
2021-11-05,0.008951775916834936,0.0,-0.008462974486620922,0.016622203981120576,0.005362776025236604,0.016157414813629867,-0.00933706816059765,-0.00919540229885063
2021-11-08,0.018030910131654254,-0.001052631578947305,0.004895192669762682,-0.002018570851836876,0.003451521807342317,-0.002991183879093251,0.007304429783223432,-0.005413766434648082
2021-11-09,-0.011104863649142649,0.0,0.007244566575068667,-0.010315533980582492,-0.005315822388993197,-0.012158534659718834,-0.011228070175438476,0.0038880248833592645
2021-11-10,-0.0009950248756217528,0.0,-0.004836309523809534,0.006131207847946074,-0.021376925495127264,0.011508951406649537,0.005204636858291867,0.0
2021-11-11,-0.0011383039271485318,-0.0010537407797682752,-0.013208722741433032,-0.010156408693885788,-0.023450048185030492,0.0265486725663715,0.00706048481995758,-0.017815646785437678
2021-11-12,-0.0034188034188035177,-0.0031645569620253333,0.00606137138527596,0.020726451877693508,0.011184210526315796,0.007389162561576512,-0.0009347978499649745,0.016561514195583715
2021-11-15,-0.0032875929102342827,0.005291005291005346,0.024350445588050773,-0.007036590269400955,-0.018217306441119074,0.025061124694376602,-0.005146198830409343,0.0015515903801395226
2021-11-16,-0.00458912949949819,-0.002105263157894721,-0.011885798309030693,0.010123506782749647,-0.029821073558648048,-0.01073345259391767,-0.005172819186456623,0.0015491866769945517
2021-11-17,0.0023051433511021013,0.015822784810126667,0.0060763888888888395,0.0,-0.011612021857923538,0.0,0.008272276057669448,0.0015467904098993568
2021-11-18,-0.009055627425614388,-0.01869158878504673,-0.00838160976211011,-0.01824012828222099,-0.028334485141672472,0.00798673899939728,-0.010079699953117638,-0.013899613899613916
2021-11-19,-0.0214679431389615,0.0031746031746031633,-0.027843380981976473,-0.012454062882809258,-0.03911806543385499,0.0,0.0009471939379588346,0.0
