time,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
2022-02-15,64.68,41.85,77.73,46.24,25.9,64.15,48.92,14.76
2022-02-16,64.04,41.45,77.73,46.34,25.9,63.95,48.92,14.74
2022-02-17,64.36,41.55,78.51,47.1,26.18,64.72,49.2,14.99
2022-02-18,64.2,41.1,77.44,46.8,26.49,64.48,49.03,14.74
2022-02-21,64.52,41.8,77.73,47.46,26.26,64.43,49.14,14.74
2022-02-22,63.72,41.0,77.05,47.15,26.12,66.26,48.81,15.53
2022-02-23,63.72,41.25,77.15,47.2,26.29,66.31,48.86,15.51
2022-02-24,62.61,40.05,76.37,46.7,25.9,65.83,47.96,15.35
2022-02-25,62.84,39.55,76.08,46.85,25.84,66.21,47.85,15.39
2022-02-28,62.45,38.5,75.3,47.36,26.57,65.44,47.51,15.53
2022-03-01,63.08,39.6,75.78,47.41,26.4,65.44,47.79,15.35
2022-03-02,62.53,39.45,75.3,47.26,26.4,64.72,47.79,14.67
2022-03-03,62.45,39.5,75.78,47.41,28.21,65.69,48.07,14.94
2022-03-04,62.05,39.5,75.69,47.46,28.04,65.35,47.74,14.85
2022-03-07,61.17,39.25,74.04,47.61,28.77,64.58,47.74,14.53
2022-03-08,60.61,38.95,72.48,48.12,27.84,64.58,45.83,13.99
2022-03-09,59.82,39.0,71.9,48.47,28.07,64.39,46.67,13.88
2022-03-10,61.41,39.55,73.06,48.02,27.67,64.24,46.95,14.02
2022-03-11,62.13,39.5,72.87,47.31,26.8,64.0,47.12,14.2
2022-03-14,61.49,39.15,72.38,46.6,25.79,63.38,47.34,14.29
2022-03-15,61.49,39.15,72.38,46.19,25.98,63.23,45.6,14.26
2022-03-16,61.57,39.05,72.09,46.49,26.01,63.23,46.39,14.49
2022-03-17,60.85,39.2,71.9,46.7,25.87,62.94,46.67,14.56
2022-03-18,60.53,39.4,72.48,48.27,26.18,63.33,47.34,14.49
2022-03-21,61.81,40.5,75.3,48.37,26.38,64.92,47.74,14.53
2022-03-22,61.25,41.1,75.78,48.93,26.4,65.06,47.74,14.65
2022-03-23,60.61,40.7,75.01,48.98,26.35,64.96,47.74,14.51
2022-03-24,60.22,40.5,73.55,48.73,26.12,64.48,46.95,14.47
2022-03-25,59.9,40.5,73.74,48.58,26.12,66.84,46.39,14.35
2022-03-28,58.46,40.25,72.77,49.79,25.84,69.29,46.33,14.22
2022-03-29,60.14,40.4,74.33,53.24,25.81,70.5,46.05,14.44
2022-03-30,60.69,40.55,73.65,53.8,25.62,69.49,46.11,14.74
2022-03-31,64.44,40.6,73.65,54.31,25.39,70.16,46.16,14.87
2022-04-01,65.08,41.05,74.04,56.34,25.73,75.07,46.56,15.03
2022-04-04,65.47,41.35,74.13,55.48,25.81,74.59,46.44,14.9
2022-04-05,64.04,41.15,74.23,55.33,25.95,74.68,46.67,14.74
2022-04-06,63.16,40.25,74.13,57.36,26.6,76.42,47.57,15.05
2022-04-07,62.53,39.75,72.87,57.51,26.21,74.59,46.67,15.21
2022-04-08,61.57,40.85,72.97,55.07,26.12,72.18,46.67,14.99
2022-04-12,61.17,40.65,70.93,55.73,25.39,73.48,46.33,14.56
2022-04-13,61.49,41.1,71.02,58.42,25.45,75.17,46.33,14.72
2022-04-14,60.77,40.85,70.25,59.18,25.28,76.75,45.54,14.58
2022-04-15,60.93,40.35,69.08,58.37,24.88,77.09,45.09,14.17
2022-04-18,61.33,39.75,67.82,58.63,24.01,77.09,43.69,13.68
2022-04-19,60.53,39.4,66.94,56.85,24.38,75.07,43.69,13.23
2022-04-20,60.22,39.65,64.9,56.85,24.32,75.07,44.08,13.32
2022-04-21,59.74,38.75,62.18,56.85,24.41,74.83,44.08,13.54
2022-04-22,60.46,38.85,62.86,56.39,24.66,74.97,46.22,13.54
2022-04-25,58.54,38.1,61.21,52.48,22.94,69.73,45.99,12.68
2022-04-26,60.46,39.0,63.15,52.94,23.2,71.6,45.26,13.25
2022-04-27,59.74,39.0,63.15,52.28,23.93,70.83,45.83,13.41
2022-04-28,59.18,38.95,62.67,53.55,24.27,69.78,45.83,13.29
2022-04-29,59.1,40.0,63.15,53.3,24.38,71.8,45.49,13.45
2022-05-04,57.75,39.85,62.67,53.04,23.65,71.94,44.93,13.05
2022-05-05,57.43,40.0,66.85,53.14,23.67,71.89,45.54,13.09
2022-05-06,55.92,39.9,66.75,50.86,23.53,70.55,44.65,12.64
2022-05-09,55.76,39.55,66.07,47.71,22.49,65.64,43.8,11.83
2022-05-10,56.23,40.2,67.91,49.95,23.14,67.42,44.98,12.21
2022-05-11,55.36,40.25,68.5,51.72,22.89,67.85,44.98,12.41
2022-05-12,52.97,39.5,66.94,48.52,21.53,64.67,43.3,11.58
