,VNM,VIC,VHM,FPT,HPG,MWG,VCB,MBB
VNM,0.00019659031819509973,6.557764896368608e-05,8.223637642466443e-05,9.467532137537009e-05,9.499729490785531e-05,0.00010541851679618641,7.809134255587725e-05,9.51583528635143e-05
VIC,6.557764896368608e-05,0.00040103642262859636,0.00024300430105437892,8.022039647103207e-05,0.00012446998841825433,0.00011523947882818652,5.692982091406419e-05,9.595511488168586e-05
VHM,8.223637642466443e-05,0.00024300430105437892,0.00039864988126329503,0.00011179159152101936,0.00017165455237092684,0.0001508919301882781,9.500825442882653e-05,0.00014271231580601274
FPT,9.467532137537009e-05,8.022039647103207e-05,0.00011179159152101936,0.00029166544146348386,0.00016332444806820356,0.00021245497670179092,8.823179320177836e-05,0.00016662302314177479
HPG,9.499729490785531e-05,0.00012446998841825433,0.00017165455237092684,0.00016332444806820356,0.0004756201436366287,0.0002512891137128609,0.0001227548991738969,0.0002400492775439843
MWG,0.00010541851679618641,0.00011523947882818652,0.0001508919301882781,0.00021245497670179092,0.0002512891137128609,0.0005159447261439372,0.00011368953335583251,0.0002359307597610256
VCB,7.809134255587725e-05,5.692982091406419e-05,9.500825442882653e-05,8.823179320177836e-05,0.0001227548991738969,0.00011368953335583251,0.00022790428228772682,0.00013652782268629265
MBB,9.51583528635143e-05,9.595511488168586e-05,0.00014271231580601274,0.00016662302314177479,0.0002400492775439843,0.0002359307597610256,0.00013652782268629265,0.0003596657842648388
