,mu_annualized
VNM,0.20917711760539182
VIC,0.21274576953665456
VHM,0.07053777461262092
FPT,0.40224016983354915
HPG,-0.37926451779103243
MWG,-0.24944529039819316
VCB,-0.20157100346584927
MBB,-0.3096624875744242
